Monomer1,Monomer2,Group1,Group2,Actual_Score,Predicted_Score,Score_Difference
C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,O=c1n(CCS)c(=O)n(CCS)c(=O)n1CCS,C=C,CCS,4.66,4.63,0.03
CC(C)(c2ccc(OC1CO1)cc2)c4ccc(OC3CO3)cc4,NCCNCCN,C1OC1,NC,4.79,4.65,0.14
c3cc(N(CC1CC1)CC2CO2)ccc3OCC4CO4,CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,C1OC1,NC,3.79,4.09,0.3
c3cc(N(CC1CC1)CC2CO2)ccc3OCC4CO4,NCCOCCOCCN,C1OC1,NC,3.88,4.01,0.13
Cc3cc(c2cc(C)c(OCC1CO1)c(C(C)(C)C)c2)cc(C(C)(C)C)c3OCC4CO4,CC(N)COCC(C)OCC(C)OCC(C)N,C1OC1,NC,3.87,3.84,0.03
c3cc(N(CC1CO1)CC2CO2)ccc3Cc6ccc(N(CC4CO4)CC5CO5)cc6,COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCN,C1OC1,NC,4.65,4.53,0.12
C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,O=c1n(CCS)c(=O)n(CCS)c(=O)n1CCS,C=C,CCS,4.67,4.64,0.03
CC(COc3ccc(C(C)(C)c2ccc(OCC(C)OCC1CO1)cc2)cc3)OCC4CO4,NCc1cccc(CN)c1,C1OC1,NC,3.85,4.16,0.31
C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)=O,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=C,No_group,0.93,1.07,0.14
O=c1ccc(=O)n1c4ccc(Cc3ccc(n2c(=O)ccc2=O)cc3)cc4,C=C(CCS)OCCn1c(=O)n(CCOC(=O)CCS)c(=O)n(CCOC(=O)CCS)c1=O,C=C,CCS,4.73,4.64,0.09
CC(C)(c2ccc(OC1CO1)cc2)c4ccc(OC3CO3)cc4,Nc2ccc(SSc1ccc(N)cc1)cc2,C1OC1,No_group,1.25,1.08,0.17
