monomer1,monomer2,score,total_count
CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5OCN(c4ccccc4)Cc5c6,CC(C)(COCC1CO1)COCC2CO2,1.12,0
CC(C)(c2ccc(OC1CO1)cc2)c4ccc(OC3CO3)cc4,CCCCCCCCCCCCN,1.22,0
CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,Nc2ccc(Cc1ccc(N)cc1)cc2,1.25,0
CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,Nc2ccc(Cc1ccc(N)cc1)cc2,1.25,0
CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,Nc1cccc(N)c1,1.19,0
CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,Nc2ccc(Cc1ccc(N)cc1)cc2,1.25,0
CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,Nc2ccc(Cc1ccc(N)cc1)cc2,1.25,0
CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5OCN(c4ccccc4)Cc5c6,1.16,0
CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5OCN(c4ccccc4)Cc5c6,1.16,0
CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5OCN(c4ccccc4)Cc5c6,1.16,0
CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5OCN(c4ccccc4)Cc5c6,1.16,0
CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5OCN(c4ccccc4)Cc5c6,1.16,0
CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5OCN(c4ccccc4)Cc5c6,1.16,0
CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5OCN(c4ccccc4)Cc5c6,1.16,0
CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5OCN(c4ccccc4)Cc5c6,1.16,0
c3cc(N(CC1CO1)CC2CO2)ccc3OCC4CO4,CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5OCN(c4ccccc4)Cc5c6,1.15,0
c3cc(N(CC1CO1)CC2CO2)ccc3OCC4CO4,CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5OCN(c4ccccc4)Cc5c6,1.15,0
c3cc(N(CC1CO1)CC2CO2)ccc3Cc6ccc(N(CC4CO4)CC5CO5)cc6,CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5OCN(c4ccccc4)Cc5c6,1.11,0
c3cc(N(CC1CO1)CC2CO2)ccc3Cc6ccc(N(CC4CO4)CC5CO5)cc6,CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5OCN(c4ccccc4)Cc5c6,1.11,0
CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,O=C(O)CC(O)(CC(=O)O)C(=O)O,1.18,0
CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,O=C(O)CCCCCCCCC(=O)O,1.21,0
CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,O=C(O)CCCCCCCCC(=O)O,1.21,0
CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,O=C(O)CCCCCCCCC(=O)O,1.21,0
CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,O=C(O)CCCC(=O)O,1.22,0
Nc2ccc(SSc1ccc(N)cc1)cc2,C1OC1COC3COC4C(OC2CO2)COC34,1.21,0
Nc2ccc(Cc1ccc(N)cc1)cc2,C1OC1COC3COC4C(OC2CO2)COC34,1.23,0
CC(C)(c2ccc(OCCOCC1CO1)cc2)c4ccc(OCCOCC3CO3)cc4,O=C1OC(=O)C2CCCCC12,1.08,0
CC(C)(c2ccc(OCCOCC1CO1)cc2)c4ccc(OCCOCC3CO3)cc4,CC(C)(c2ccc(OCCOCCOCCOC1CO1)cc2)c4ccc(OCCOCCOCCC3CO3)cc4,1.02,0
CC(C)(c2ccc(OCCOCC1CO1)cc2)c4ccc(OCCOCC3CO3)cc4,CC(C)(c2ccc(OCCOCCOCCOC1CO1)cc2)c4ccc(OCCOCCOCCC3CO3)cc4,1.02,0
CC(C)(c2ccc(OCCOCC1CO1)cc2)c4ccc(OCCOCC3CO3)cc4,CC(C)(c2ccc(OCCOCCOCCOC1CO1)cc2)c4ccc(OCCOCCOCCC3CO3)cc4,1.02,0
CC(C)(c2ccc(OCCOCC1CO1)cc2)c4ccc(OCCOCC3CO3)cc4,CC(C)(c2ccc(OCCOCCOCCOC1CO1)cc2)c4ccc(OCCOCCOCCC3CO3)cc4,1.02,0
CC(COc3ccc(C(C)(C)c2ccc(OCC(C)OCC1CO1)cc2)cc3)OCC4CO4,CC(CN)CCCN,1.14,0
Cc3cc(c2cc(C)c(OCC1CO1)c(C(C)(C)C)c2)cc(C(C)(C)C)c3OCC4CO4,Nc2ccc(Cc1ccc(N)cc1)cc2,1.2,0
